rateContent,appendComment_content
ADAS功能很酷的哦，机子运行也挺流畅的。而且服务态很好,
非常好用，电子狗导航非常准,
很好，用了一段时间才写的，感觉很好用，还可以远程播放，性价比好,
宝贝收到了自己动手安装，客服很耐心挺好的下次还会再光顾。,
快递非常快，三天就到手，宝贝外观精致大气，原以为能搜百斗卫星的一定是内置GPS模块，但收货后发觉不是，是外接模块，但非常好用在室外就能收到卫星，音乐功能很好用，系统启动特别快，基本一接通电源就启动了，大致试了一下声控功能，说打开音乐，一下就进了酷狗页面。总之，比我以前用的那好多了,
目前，还可以。,
挺好用,
功能较全，该有的都有！做工不错，双GPS的高德地图使用方便。价实惠，发货也快。谢谢！,
特地用了几天来评价，卖家超负责，东西好人负责，必须五星,
我是第二次买了，这次是给别人买的，收到就自己安装上了，宝贝很好用的，值得拥有???,
15天内买家未作出评价,客服回答问题十分及时且专业，售后服务一级棒，产品使用这段时间，系统稳定，不卡顿，很是实用！
记录仪今天早上到货，中午抽二十分钟安装完毕，不比不知道，我之前用的记录仪图像都是失真的(有上图对比)，记录仪和卖家描述一致，非常好！语音操作是个大亮点，至于有评论说不能安装应用，这个问题我没有也不需要验证(记录仪的主要作用就是取证)，还有高德地图很好用(比原车的凯立德好太多，更新又慢，还得花钱更新)，车车助手设计完美(随时随地想看就看)，激活很简单的，大家不要怕麻烦，强力推荐购买(最好是买带卡的套餐，32G高速卡在实体店你花70块是不可能买到的)。**，差点让那几条评论害我损失好货。,昨晚体验一下，记录仪真的很理性，一上路电子狗就会播报哪有摄像头，再也不怕一不小心了，夜间摄像效果还是很好的，因为我后镜头是装车内，又是下雨状态，拍摄时刚起步(没有对焦拍摄，车内也有雾)，所以画面效果不好，但是，请你相信我(我不会为了一点点的返现去拍几张照片，更不可能写这么多的评论)，完全是想把好的东西分享给大家(不要受那几条差评影响，现在二和差评师都很多)。这款记录仪＝行车记录+电子狗+导航+防盗器(主要是避免被剐蹭，可远程监控、抓拍、查位置)，如果你还怀疑，你可抱着试试看的态度(几百块也不贵，某品牌具备这些功能的要一千三百多)，别光看追评，记得看上面的评论，上面有推荐购买的套餐(要是你自己不会安装，还是拍包安装吧)
第二次购买了，给外甥买的，已经安装好了，感觉挺好的，还会介绍朋友买的，好评,
很满意的一次购物，功能实在太多了。以后有朋友要买，绝对介绍这家店主。,
此用户没有填写评论!,用了几天才来评价的！这个行车记录仪真的不错，比我想象中的还强。反应速度非常快，屏幕也够清晰。 客服态度也很好，不懂得问她都能很快给你解决，总之很愉快的一次购物！
15天内买家未作出评价,用了一段时间了，还真不错！绝对高科技产品，良心之作！！！???
15天内买家未作出评价,什么垃圾东西，自己的插头不行还要我在买，不要买这家的垃圾货不好用，买来这么久就用了一两次，还不换，垃圾东西，垃圾店。
此用户没有填写评论!,用了2个月，效果不错，售后服务很好
15天内买家未作出评价,广告做的好。实及产品没那么好。
15天内买家未作出评价,帮买的，据说不错。
东西非常不错，这是我淘宝购物最满意的一次，功能强大，ADAS播报非常准，语音反应灵敏。,
此用户没有填写评论!,记录仪简约大方，功能丰富，前后摄像头清晰度不错，后摄稍逊一点，卖家态度不错，有问必答，还没下手的不要错过了！
好，非常好，用了1个月才评价，自己安装，手机电视，导航电子狗，前后双录，价格实惠，客户耐心，一次愉快的购物。,
跟描述的相符，语音响应很迅速。链接后运行一会，GPS信号加强器连接那里会很热。送的橡胶皮筋有点短，可能是均码的原因。我的倒视镜有些大，套上很费劲，真怕拉断了。另外，语音激活的条件，你好，小明。太土了。其实谐音也可以的。你好，小秘，小米，小姑娘，蔡明，妖妖灵，这些也可以的。只要发音正确，响应跟喊小明效果一样。有些功能如打开前后摄像头不用喊你好小明也能切换。大家可以继续开发好玩的名字共享哦⊙&forall;⊙！,
很不错的宝贝！用了几天很好！价格实惠，产品很好，语音功能大赞，反应很快！在用用看吧！好评,
还可以哦，不漏秒是最重要的，自己安装很费时间，搞了几个小时才搞好后置摄像头。整体录的比较清晰。但是模记录仪后面很烫，担心时间久了怕坏，别的一切都很好，声控很灵敏。功能比较多，在一一摸索中，过段时间再来追评。,
好评，语音操作解放了双手，人机互动很愉快！！！,
不多说，大家自己看吧。因为截图只能发5张，其余的都保留起了。设备自身有问题，说是车子干扰。描述的24小时监控，结果是送的降压线不行，建议自己去买，还说客户买不到好的线。安装降压线就连不起FM，不用降压线，车子就不能保证24小时监控。客服的解释是，后台有运行程序耗电。我一直没闹明白车都熄火了，机器也关了，只是碰撞或我们需要监控时通过网络信号联系设备，采集图像。难道这个设备车辆熄火后，还是一直运行的？搞笑哈！如果这样降压线也别买了，你们仔细想想机子一直都在运行工作，车辆还是熄火状态，你们自己的车有几个能撑住哈！哈哈?！搞笑的理论和解释，安装当天再三电话解释说不用降压线也能保证我们车辆的24小时监控。安装好了，又说机器后台问题，什么屏幕耗电，需要开一段时间关一段时间才能给机器电池充上电，早说谁还安装，直接退货了。现在安装好了，车辆去了几百公里外，解释不清楚了，才问我是否退货，这几百公里不要油钱，不要过路费呀！商家的一顿谬论哈！懂得朋友自己看哈！小白请绕道，后悔没有药哈！不推荐购买哈！免得怄气。这个也是我几年来购物的第一个差评，大家可以看我的信誉！这里只是把真相说出来，以免更多人上。无良商家,
这款三合一的记录仪和导航功能还有电子狗?，很灵敏，记录仪很清晰，自己动手安装的，小明很给力非常灵敏，比我朋友一两千的还要好，必须好评！,
宝贝收到，不错！,机器安装完毕，各项功能都试了一遍，相当不错，前摄像和后摄像特别清晰，语音功能太好了，非标准话也能识别，真心的谢谢厂家有这么好的一款产品，我会介绍更多的朋友选购，满分！
记录仪非常好。和商家描述的一样。声控灵敏度极高。前后摄像非常清楚。用过几天看看效果再追评。,
宝贝非常好,
15天内买家未作出评价,整体外观大气，电子狗比较准确，摄像清晰，黑屏后视清晰，推荐购买!
宝贝很好，像素还可以！本来拍了视频的，由于时间视频时间长，淘宝不支持长视频跟像素高的，所以只能发图片了，店家服务态度很好，帮忙联系安装店，很耐心跟我说，还可以看电视频道，也很清晰，行车记录语音提示很到位，距离前车距离都显示，车道偏离也提示！语音功能也很好用！还可以手机查看实时监控！抓拍！功能确实挺齐全的！比4儿子送的好多了，一分钱一分货，这个价格能有这么多功能确实不错了！,
15天内买家未作出评价,还是那么的安逸
我来走一波，导航优点功能多 adas我个人比较喜欢 全屏感觉不错  蓝牙语音 导航 记录仪 都是比较啊不错的 录音清晰 行车轨迹 手机监控 最主要价位便宜！性价比之王！缺点 发热真不是盖的 GPS触电第一个发烫 因为是金属机身 所以传导也很快 但是我们是东北地区 所以问题不大，还有语音这块 很纠结 好使不假 但是说话间就容易启动了 后来气的我关了 反正也用不上 前摄像头很清晰 后摄像头不如前面的 总体评价 很满意这价位不要求哈了 就是不能装app很遗憾 要不我是不是在装个爱奇艺什么的哈哈！,晒一波  给各位车友看看！对了  可以不用说你好小名 可以换名字的  你直接对他说我给你换个名字就可以
试用了几天，才来评价！的确不错好用！电子狗，导航都很好用！值得拥有，避免了很多测速!商家很热情！推荐了几个朋友购买！,
记录仪很好，功能挺多的，像素很好，发货快，试用了几天？店里服务态度很好，这次在网购买得非常满意，值得推荐在这家店购买，,
经常卡死，语音要说很多很多遍才听得懂,完全没反应
整体外观大气，电子狗比较准确，摄像头清晰，值得购买,
非常棒，功能跟想象中的一样，太多了，最主要的是后视流媒体，我发现晚上后摄像头比前置摄像头清楚，只要有光源就特别清晰，机器自带的2G流量我也够用了，正常导航的话，用个半年应该没什么问题，用了三天了，没有死过机，语音助手的话没用，因为我发现要点一下语音标志才能激活，所以没用，总体来说这款行车记录仪是我需要，样式好看，功能繁多，非常满意！,
15天内买家未作出评价,400元左右吧
机子不错  反应灵敏 就是接保险盒的充电线出了状况充不了电  目前用着点烟器那个  总体质量还是非常不错的,
特别好用物流很快很方便很精确功能特别多也很好用,超级好用 行车记录仪夜特别清楚 功能多
这个价钱买到全屏的一体机真是物超所值，各个功能都有，物流速度也快，店家很热情，好评,
宝贝我收到了质量很好还是语音的功能很多的一款机器，客服也很好想买的朋友赶快下手吧,安上了夜间的效果不错声音大值得购买
15天内买家未作出评价,不好意思评论晚了。功能很多，拍摄图像、声音都很清晰，夜间路上有灯的地方也很清楚，角度比我原来的广多了。因行车记录仪背面很热，跑了次长途觉得上面的触点上都发烫了，温度高了可能会影响运行速度和使用寿命，所以买了个5vUSB口小风扇粘后面了，另拆了变压器从板上接了根线出来给风扇供电，很管用温度下来了，不会捣鼓的千万人别学，我不负责的呵呵。另外摄像头转动设计的太灵活容易松，屏幕十字中心点不对准正前方开车时会一直报车道偏离，我校正好后用热溶胶固定了。导航地图也在家里WIFI下更新了。现在习惯一上车就要点开影像呵呵，有这个确实很好值得购买，好评！
非常好的宝贝！已经是第二次购买了！是帮朋友买的！看到我他要买和我一样的！很满意的二次购物！下次再来！,
效果不错,
好用，已经买第二个了。朋友叫帮买的。总体感觉还不错。,
下午收到货后马上去装了！很好安装！而且前后双录很清晰，一个屏幕闪现两个很好用，功能很强！有一个功能很有意思，叫什么碰撞锁影，反应相当快还很灵敏！路颠波和关车门都能拍照！其他功能正在试用中！以后追评吧,
非常清晰，好评,
在用功能很强大好用，就是不知道还要装卡的一个要二十多,
15天内买家未作出评价,现在插头坏了，没有电到主机上了
今天刚装上，初次体验感觉非常不错，语音控制相当给力，反应还算快，清晰度也不错！流量用的比较快，一会就几十兆，没舍得用！用过一段时间再追加评论！,
使用太方便了，尤其是语音功能，爽到爆！安全系数增加了不少，我用手机热点，导航也很方便！就坐等看能用多久了，超级满意！,后摄像头没有安装好，拍摄水平有限，功能实在太强大了，只有你想不到的，没有它做不到的
质量很好，功能多！待进一步了解。。。,
就这个价格总的来说还是不错的，我停车超过二天就无法监控了，也许是没电了吧，后视镜的角度还是不足，与我车上原装摄像头的宽度和清晰度有明显差别。且图像图扁长变型比较明显。,
此用户没有填写评论!,我已经用了一段时间了这产品质量很好店家服务态度很好。唯一就是声音太小。
宝贝很好，性价比超高。已经自己安装好了，安装也很简单。功能很多，插上导航模块在楼下可以搜十二颗星,出去专门试了试电子狗，也很准。以后再也不怕超速罚款了。
记录仪很不错做工好包装有档次配件齐全店家还送了好多东西赞一个一会装上试一下。,已安装屏幕显示清晰前后摄像头都很清楚，后摄像头放到了车子里面有时间在找专业人员装到外面功能齐全使用正常送的流量卡已激活可正常使用！
此用户没有填写评论!,不错不错！特别好用！比我原先的好多了！
态完美了，好用?,
先说说这个导航仪的比别家多的优点。一，他是全网通就冲这个来买的。电信送的不限量的流量卡一定要利用起来。。二，它可以远程直播。三，语音聊天非常牛逼，声音也非常好听。再说说有不足之处。远程直播，有时候会连接不上，不知道是什么原因。店主说是网络问题，我觉得应该是电池带电问题。还有店家可能是个小青年。一个比较执着的小青年，不过慢慢地才会成熟，才会了解作为一个商家怎样去和客户沟通去了解客户想要的东西改善自己的产品。总结一下产品总的来说还是性价比比较高的？功能也非常齐全。还是一款非常不错的。,
产品很完美，建议大家买这一款，用起来也很方便，全部可以语音控制，多媒体功能也很齐全，都是实用类型的。,用完再好评一下，只选对的，不选贵的，很好用！
记录仪回来了，还给了礼品。虽然卖家告诉了安装方法，可还是找专业人员给安装的，效果非常好，功能齐全，和卖家描述的一样，一次不错的购物。,
宝贝收到自己安装的，第一次后置出了问题，马上反馈给老板，老板很热情并且马上又免费发来了一套后置，昨天有时间了，就装上了，效果不错，很满意，这个价位，能买回来这种全屏记录仪，确实不错。老板也很细心！谢谢老板！五星级好评！,
装上后感觉非常好，有远程监控，点赞，很放心，语音控制也很快，值得买。第二，店铺介绍的安装地方确实很好，很有耐心。,
很好，机器反应很快，前后影像都很清晰很好安装。希望能用住。自己安装的40分钟搞定，好评,
宝贝收到了，整体特别满意，效果不用说，倒车没有卡顿，电子狗报告清楚，不用担心违章了，卖家服务态度很好，,
整体还不错白天效果很好，晚上就稍微差一点，微光夜视。,
外观不错，包装还是满高大尚的，安装使用后再追加。,
东西用下来感觉很不错，就又买了一个给公司的另一辆车也装上了。办公室同事都说好。,快一个月用下来，感觉很不错，打算把公司的车都给装上，还可以监控员工有没有公车私用。哈哈
宝贝收到了，店家还送了好多礼物?，机器反应快，视频清晰。值得购买，回头帮朋友再买个。,
东西非常精致， 卖家态度好. 赠送的礼品也很有实用性 非常给力！,
非常不错，挺好用的，前后都有记录仪，高清，还可以听歌，高逼格。,
产品不错，反应挺快的，服务态度更到位,
这是一次愉快的网购，我很喜欢，这些功能刚好都满足了我。,
宝贝收到了，迫不及待的安装上，效果不错的，满意的一次购物，下次回购,
很好用，报数都很准，随时都可以听自己喜欢的歌，还有报路况，很高兴一次购物。,
15天内买家未作出评价,我之前买的行车记录仪语音唤醒没用了，是怎么回事，求解答
发货很快     货品很好     值得购买    大家快来抢购,用了感觉很好     语音很清晰     用的很不错
这机子确实不错，各种软件应用很流畅，很满意的一次购物,
记录仪收到了，很精致，非常满意。师傅装了半个多小时，不懂的地方问客服也是有问必答，非常有耐心，必须点赞！有图有真相！,
服务态度一级棒   有耐心周到细致   物流也挺快  收到好几天了  一直没评价 主要是想试试看看好用不   试了几天了  挺满意   导航准确 记录仪也清晰   特别是电子狗播报精准  不要考虑了就这个挺好的  强烈推荐,
宝贝收到两天了有些功能还不会用，自己动手装的后摄像头费力的，效果还行吧用一段时间再说吧,
功能还可以，三根线插在上面感觉不好，为什么不整合成一根呢？到后面再分多好！镜面感觉有点小，盖不住后面的原镜子，露出两个角,
物美价廉  头一回买感觉机子没问题  商家也热情,用了半个月机子特别好  摄像头高清
试过很多家的行车记录仪，结果都退货了！准备出发前从三亚到深圳，试着的心态在这家购买，快递用的顺丰，隔天到的三亚；安装简单，线路沿着A、B柱隐蔽走线，接通行车记录仪各种不会，问客服给了我老板的电话，沟通之后用的真是很多惊喜！车距提示，线路偏移提醒，前后视超清晰，语音播报反应速度快，一路平安到达深圳，确认收货！五星图文好评！！！,
此用户没有填写评论!,我买的导航收到了比想象的好多了
用了一段时间，感觉还可以，反应比较快，这个价位，很值得购买。好评！,
今天才来评价，早就到了，才装上，不错，真的不错，画面各方面，没得说，值得购买&hellip;&hellip;,
安装好复杂，但是还不错。比较智能，后视镜晚上不清晰,
后影像在晚上质量太差了，做工太一般了,
昨天刚装完，晚点在补照片,
很好，比我想象的还好，清楚,麦哲龙行车记录仪，前后双摄像头，导航，电子狗，功能齐全，图像清楚，经济实惠，很好，我喜欢
比较满意,
15天内买家未作出评价,之前由于黑屏，货品更换后用了二周效果不错，性价比高值得推荐！
好，,66666666666666666666666
功能强大，非常喜欢???,
不错  大体试了一下还没装  视频很清楚  操作也很简单,
商家不会在它的宣传页面上告诉你，他的宝贝不能连接手机蓝牙音乐，想听手机里的音乐?，靠边去吧，别以为手机蓝牙就能听手机里的音乐或者导航声音了，错，错，错，都是错,
试用了一天，效果不错，满意，五分好评。价格也不贵，推荐购买。,刚拍的，没美图哦。
暂好评，用段时间看效果再追评,
好评！用了几天，一直很好用，功能也可以，好评！,
装上了，但是一热，就有点卡。,
太牛太牛了好东西钱少货超值！,
宝贝不错，就是不能远程控制,
东西真心的好，物有所值，这是第二次购买，商家也很负责任。,
东西非常好，老板人也很好，专门给我送过来,
东西棒棒滴很好用,
物美价廉！物有所值！是非常好用的东西。,
好评好评，用下来没有其它问题。反应非常灵敏,
等等好多红包,
好啊！买对了!,
收到货了，还没来得及装，先开机试了下，主要显示屏够高清，功能还是比较多的，WIFI，蓝牙，FM发射，可以连手机用流量，智能语音比较灵敏，摄像头比较高清，音乐啥的都有，电子狗，导航，倒车影像，基本功能齐全，看了很多记录仪，通过对比，这款还是比较值得的！,很好用！
服务态度冇得顶,
东东很好，语音切换关屏、还回主页、打开摄像头&hellip;&hellip;还算蛮灵敏的，白天前后摄像头很清楚，尤其是晚上后置摄像头基本上和白天一样很清楚，这个价格太值了，卖家也很诚信也很有耐心负责有问必答，这服务也绝可是5星好评了。,刚买安装时前用了几天碰到了一些小问题，经与客服沟通几次后都能及时帮我解决并指导我正确使用，每次沟通咨询都能不厌其烦有耐心又细致给我讲解，这样卖家真的是值得信懒的好卖家，太有诚信又负责，看到此评价想买此产品的买家就别忧郁不决了，果断下手，决不会让你觉得有亏的或不值的感觉，是件使用上方便的多功能又好用的记录仪，经我一段时间用下来情况就是这样感觉的，我不是托，是实实在在的用户！
首先确定的是客服很负责任 第一次发来的后视镜因为做工原因屏幕里面有些异物 和客服联系后二话没说就让我寄回去换了台新的 做生意讲究的是服务 真的很好。再来说下后视镜 首先功能很全 基本上车上需要的软件都有 反应也挺快的 挺好的。,
行车记录仪我同时买了摩托车和汽车的2个记录仪，对比来看汽车记录仪性价比要高相当的多，功能也相当的强大可玩性也高可以彻底的解决开车脱手问题，同时也在自己朋友圈里晒图了，有朋友需要第一个推荐这款产品卖家还送了很多的小礼,
客观事实的评论，这个记录仪功能多，但是总是自己莫名其妙的打开别的功能。刚刚装上惊喜万分，使用几天唉声叹气，机器反应越来越迟钝，这个价位的就这样吧，耐用性不知道，只是习惯性好评罢了，奉劝大家购买的时候慎重考虑,
使用了一段时间，简单总结一下，1.整体功能很强大，该有的功能全部都有了，实时的道路路况信息很实用。2.不能安装其它应用程序，这个很不好！3.gprs接口处发热特别厉害，联系了卖家说没啥问题。期待不会有什么问题。4.语音系统挺实用，反应也挺灵敏。5.期间出现过一次倒车影像卡顿，但后面就没事了，观察中。6.卖家为人很热情，有问题会细心的解答很不错。,
宝贝收到了！挺好的，功能跟介绍的一样，玩了一下，挺有意思的，语音挺好的，还可以下载好多软件，挺好的,去安装好了，让老婆在家里上车车助手远程监控看我记录仪的视频，杠杠的，好神气
宝贝不错，功能多，反应快，人机交流方便又敏捷，摄像头清晰，这个价位性价比特高。,
东西很好功能强大！预警系统很实用！唯一不足的是电池待机不够长，每次断电以后电池用的很快，也就一天左右，不过不影响使用，每天开车还是不错的！画面超清晰！夜视效果不错！必须好评！,
宝贝收到，看着高大上，一会儿就去装到车上试试&hellip;&hellip;&hellip;！！！,鼓捣了一上午，终于可以用了，质量过关，反应灵敏，对得起这个价钱！全五星好评！！！
记录仪刚刚安装好，试用一下感觉语音系统特别好用方便，好多功能不是很熟悉，等过几天再分享使用心得！,
宝贝收到了！客服也耐心解答安装问题！自己安装完成。测试了一下功能！语音识别非常棒！行车记录仪拍摄也非常清楚！自己成功正确的一次选择！赞???后续使用后再追加评论,不得不说我这次选择非常正确！掏的好宝贝！每次开车出行都变得有趣了！实时路况让我能提前做出选择，避开拥堵！推荐有需求的朋友购买！
送的礼物非常多，然后功能很强大，安装了一个小时，效果非常好，前后倒车影像，全屏显示，很不错,安装完成了，上路试了一下，还有车道偏离，蓝牙通话，很不错的记录仪
不得不说，真的挺好，尤其语音功能真的很赞！只看了前视镜头，后视还没安装，前视白天清晰，夜市在有光的条件下效果也很好。希望可以用的久。卖家承诺一年保修，,
首先，导航尺寸够大，哈哈，看着没压力，语音速度也够快，导航精准，客户给力，第一时间回复，这个导航比车载的便宜，速度不拖泥带水的，非常好的导航，五星满意，强力推荐这个导航，不说，直接上图！,
今天刚去装的，建议买他们淘宝里面附加的安装，不然会被车行坑死的。  效果很牛逼，装的人都说不错。建议大伙儿购买。我也是对比了好几家才买的。强力推荐！,
宝贝不错，功能多，反应快，人机交流方便敏捷，前后摄像头都很清晰，性价比高，????,
记录仪非常好，前后录制都非常清晰，语音控制非常实用，一系列的功能也非常强大，安装师傅说送的隐藏电源非常好 不用接点烟器电源，总体说非常好，有啥不懂的咨询卖家也不厌其烦的解释，,
满分，我要的功能全都有，倒车影像，行车记录，蓝牙电话，GPS，ADAS，反应快，还可以连网，而且语音控制开车时方便很多，电影，MP3等等好多功能，本想改中控的这下全有了都不用改了，神器啊,客服MM服务周到，问什么答什么，忘记了送的小东东也很不错，这个后视镜真心不错
东西不错，镜子不大，正好盖住汽车后视镜，功能挺全，自己安装也方便。,
记录仪收到了，花60块安装好的，目前感觉质量不错，先好评好评全分好评！！用段时间后再追加评价！！,
收到货就当上试用了，包装也细心完美，产品更是我想要的，单前录后录双录你随意，清晰度还挺高，功能强大真的很智能很实用，老铁们赶紧啦！,
行车记录仪白天前后效果很好晚上还没试  语音功能很强大开车不用手操作解放双手这个功能很实用,
换了几个行车记录仪，终于找到满意的。之前一个不支持插自己的电话卡，亲测这个可以用，应该属于升级版的，还支持双星定位。手机随时能监督自己的车了，超赞！,
15天内买家未作出评价,宝贝不错，功能齐全，夜视效果也不错，轨道偏移、电子狗预报及时，语音和触摸灵敏，总体不错值得购买。
晚上的清晰度不是很好，多功能是我需要的，语音反应还可以，喜欢就买一个,
质量很好，反应灵敏，装好几天才来评价的很好用，全五星好评,
记录仪收到了 很清晰 音质也很好 反应灵敏  这个价位很划算的 好评,
第一次带图评价。主要是这次买的记录仪真的很好，比我想像的还要好一点，唯一不足的是拉线没有固定卡扣，要是在老板不赔钱的情况下可以适当的送几个，那个东西应该不贵????,
很好和描述的一样反应还行外观很漂亮,
不错不错 东西还没用 不过看起来很好 赠品送了好多满实惠的  下次再来哈哈哈哈,
赠品多，东东配件齐全，说明书详细，等安装好后再发效果图。客服好，解释详细。赞全五星：,
物流飞快今天一整天试了一下机器的各项功能，非常完美期待，客服态度非常的好值得点赞，希望老板生意越做越好。全五分好评希望厂家能一如既往的坚持下去期待后期的维修像你说的一样。,
刚安好，特意在路上跑了跑，功能很强大，还没试过来完，质量和画面都很好，,
宝贝很好用，特别清楚，而且反应比原来的快多啦，小明太聪明了！！喜欢的赶紧下手吧！！,
收到货后没马上评价，专门用了几天，确实非常实用，安装方便快捷，功能非常多，语音操作方便,
东西真的不错，功能太多，今天花了一下午时间自己安装，目前还在熟悉操作中，这个价钱能买到，真是不错啦。,真的不错，强烈建议购买，功能强大，语言反应速度快，定位准确，该有的功能都有了，物超所值。
宝贝收到了  质量非常好  值得购买哦 我会推荐朋友都来买  店主非常好还送了好多东西,
宝贝的确不错、功能很强大、装上开了几天、很多功能还没弄明白、客服耐心也好、服务态度我给一百分、朋友也看上这款了准备还要买一个、图片以后补上,真是个好宝贝、语音识别很准、买来之后点都没后悔、朋友看见也说不错、让我给他也买一个这款、用得不好的话我肯定不会给他推荐这东西、就因为我用了之后感觉这非常的好用、所以我给他推荐这东西我也心安理得、这里面各方面的功能真的非常强大、有这东西装上开车心里也放心了、最后感谢掌柜的不耐其烦的耐心指导、
fm频道自己不会用，在客服的指导下会了，导航用了半天，感觉还不错，电子狗开始不灵敏，后来客服让我多点几下更新，现在还不错，记录仪也改可以，有的功能还没用，等我以后用了再追评吧。,
东西真好，功能强大。语音速度快。还能看电视电影。导航很好用语音操作操作狠准,
记录仪收到了，功能齐全，语音系统很实用，人机交流非常方便，卖家服务态度非常好，强力推荐,
宝贝不错，今天刚装的，效果挺好，语音反应挺快，非常满意！感谢老板送的礼物???,
语音识别确实很方便，屏幕也很清晰，不过后摄像头真的不行，放在后玻璃里面，基本就是反光都看不清楚外面，没什么用，产品功能很丰富，很齐全，前摄像确实很清晰，很不错！,
服务态度好，屏幕很大，前后双摄，拍的也清楚，晚上倒车影像也清楚，安装方便，我是自己安装的，走线很隐蔽一点也看不到。,
功能很齐全，路况都很准确报点，镜面也很清晰！确定很棒.,用了好几天了，感觉各方面都很到位，语音反应也很快，很值得买的一款
不错很高清！电子狗和导航很精准！小明声音很好听&hellip;&hellip;,
超赞 物超所值 功能很强大 强力推荐,已经用了半个月 才来评价 记录仪超赞 性能挺稳定 价格不高 用的挺好
很不错，干那个能可以用强大来形容，后摄像头现在有点曝光过度，正在和店家沟通，先给好评，好后边来追平吧。,真是很不错，强烈建议购买，功能太强大了，无可挑剔。
功能很多，可以上网，还可以手机监控，图像很清晰，很满意的一次购物，忘发内存卡，跟客服沟通，很快就给我补发了，5星好评！,
不错的记录仪，功能强大，价格便宜!,我看中的就是ADAS功能，做为新手，这是必不可少的功能!
耶  威利固的  刚刚装好的  特别好用  语音特别灵敏  我真是喜欢之非常啊  客服小姐姐非常耐心  安装师傅服务态度也非常好,
白天效果很好  晚上后面稍微差点  不过比我之前买的好很多  好评,
此用户没有填写评论!,昨天收到的货，一直忙没有看，今儿打开看了看，和自己预想的一样。五星好评
包装完整，质量上乘，另送有其他配件，有时间安装上去整个车就完美了！,
"比想像中的好用,反应速度快,对答如流.前边的摄像头很清晰,后边也不错.价格比较适中。满分好评。",
挺好的，画面高清很清晰，安装师傅也挺好打了电话马上就叫我去装，一会就装好了,
可以   GPS正常，摄像头清晰，比原来的好多了   推荐购买,
这款宝贝还是很不错的，刚收到就迫不及待的打开试了试效果还是很不错的服务很到位不错,
15天内买家未作出评价,用了一段时间，才来评价的，这款记录仪功能多，价格低，客服服务态度好，必须好评。
用来几天才评价的，物超所值，比我以前装的2千多的好用，声控方便灵敏,
刚刚收到，还没安装，试了一下还是不错的，感觉挺高大上，物有所值！,
好评！效果不错！反应也很快！先试试再追评,
昨天刚到我自己安装的，有实惠有好用，,
此用户没有填写评论!,记录仪功能强大，完美。声控，导航，电子狗，车道偏离都超级棒，车子借给朋友还能远程监控，车子啥时候启动，对话都一清二楚?，还可以远程聊天，停车也可实时监控。后期有许多不懂的问题卖家也是耐心的一一解答，点赞?。
宝贝收到了，挺合心意的，不过还没装上，等明天装上再来追评，卖家送了好多小礼品,
昨天安装的，摄像高清不错，功能多也很简单操作,
宝贝相当好，值得购买，实物与描述相符，一次愉快的购物体验！！！,
宝贝收到了，功能很强大，比以前买的好多了，真心不错直的购买,
期待宝贝已经装好，自己动手，宝贝很好，卖家服务也个好，大半夜的还能随时指导，,
非常好用，质量不错，既可以连WiFi，又可以下载离线地图，服务很周到！！！,
东西很好，很实用，导航比车载的还好用，记录仪已很清晰,
宝贝很好，功能强大值得拥有，赠品也不错。,
记录仪早几天收到，用了几天才评价。总的来说物美价廉，质量相当不错。客服态度好，收到宝贝后差停车监控降压线，客服马上补寄了一条，物流超快。总的来说物有所值。超赞！,
宝贝非常好，很喜欢，安装师傅也很快就安好了。前后摄像头很宽广。还能看电视棒棒哒。,
货物收到了，和图片上的一样，很好的一款行车记录仪，反应快我很喜欢,行车记录仪用着真好，反应很快用了几天了一点也不慢，我非常喜欢这行车记录仪
与描述相同，服务周到，很愉快的一次购物。,
这款行车记录仪很好哦。全高清的。下雨天也是很清晰的、只不过刚装上的时候好多都不懂然后都是依次问客服的然后客服态度也很好都跟我解释的很清楚、值得购买哦！,
东西回来了，物美价廉，包装很精美，还有赠品，客服态度很好。总之，本次购物很值。,
东西我很喜欢，和介绍的的一样,
宝贝确实不错愉快的一次购物，全部都给好评,
东西不错，图像清晰，安装也不麻烦，给电就工作，不用格外开机，就是上网还没弄明白，微信激活，要求手机号和验证码老是发不过来，正在使用中，其他的都挺不错的。,
非常好！摄像头非常清晰！操作简单！,用了一下，感觉非常好！非常值得购买！
宝贝跟我期待的一样，货真价实，服务态度很好?我要自己动手安装看看，我是十分满意，用了再来评价,
产品质量好，功能强大，反应灵敏，操作简单，是一款值得购买的好产品。,宝贝使用不错，功能强大，语言反应灵敏，前后双录清晰，电子狗预报及时，ADAS预警准确，是一款很好的产品，值得大家购买，全5星
总体来说满意，没有商家展示的视频反应那么快，蓝牙通话质量不佳，对方听到的语音杂音较大，语音识别需要磨合，但这些都不妨碍它成为一款优秀的行车记录仪！,
宝贝真的不错！语音很贴心！商家也很耐心的给我解释！希望再次合作！！推荐大家购买！！这个价格真心很值得！！,
此款宝贝不错，和描述的一样，高端，大气，实用，卖家服务态度很好，有不懂的地方很耐心的解答，物流也快，卖家安排的安装师傅服务很到位，细心，一次愉快的购物！,
东西相当好&hellip;车友们放心购买&hellip;,
东西收到了  真心不错好多功能  比我上一个好多了  快递也很快  客服也很有耐心,
这个记录仪很好用，功能还多。关键是客服态度很好。,很满意的一次购物。
高端  大气  好用 客服耐心 安装精细！,
